Año,Mes,Puerto,Cód.Arancelario,Descripción.Cód.Arancelario,Operación,País.Origen,Puerto.Origen,País.Destino,Puerto.Destino,Unidades
2020,nov,S/C DE LA PALMA,1,Pasajeros en régimen de transporte,Cargadas,ESPAÑA,Santa Cruz de la Palma,ESPAÑA,ARRECIFE DE LANZAROTE,20
2020,nov,S/C DE LA PALMA,1,Pasajeros en régimen de transporte,Cargadas,ESPAÑA,Santa Cruz de la Palma,ESPAÑA,CADIZ,13
2020,nov,S/C DE LA PALMA,1,Pasajeros en régimen de transporte,Cargadas,ESPAÑA,Santa Cruz de la Palma,ESPAÑA,LA LUZ Y LAS PALMAS,20
2020,nov,S/C DE LA PALMA,1,Pasajeros en régimen de transporte,Cargadas,ESPAÑA,Santa Cruz de la Palma,ESPAÑA,Los Cristianos,5483
2020,nov,S/C DE LA PALMA,1,Pasajeros en régimen de transporte,Cargadas,ESPAÑA,Santa Cruz de la Palma,ESPAÑA,PUERTO DEL ROSARIO (FUERTEVENTURA),8
2020,nov,S/C DE LA PALMA,1,Pasajeros en régimen de transporte,Cargadas,ESPAÑA,Santa Cruz de la Palma,ESPAÑA,San Sebastian de la Gomera,580
2020,nov,S/C DE LA PALMA,1,Pasajeros en régimen de transporte,Cargadas,ESPAÑA,Santa Cruz de la Palma,ESPAÑA,Santa Cruz de Tenerife,49
2020,nov,S/C DE LA PALMA,1,Pasajeros en régimen de transporte,Descargadas,ESPAÑA,ARRECIFE DE LANZAROTE,ESPAÑA,Santa Cruz de la Palma,23
2020,nov,S/C DE LA PALMA,1,Pasajeros en régimen de transporte,Descargadas,ESPAÑA,CADIZ,ESPAÑA,Santa Cruz de la Palma,49
2020,nov,S/C DE LA PALMA,1,Pasajeros en régimen de transporte,Descargadas,ESPAÑA,Los Cristianos,ESPAÑA,Santa Cruz de la Palma,5568
2020,nov,S/C DE LA PALMA,1,Pasajeros en régimen de transporte,Descargadas,ESPAÑA,San Sebastian de la Gomera,ESPAÑA,Santa Cruz de la Palma,825
2020,nov,S/C DE LA PALMA,1,Pasajeros en régimen de transporte,Descargadas,ESPAÑA,Santa Cruz de Tenerife,ESPAÑA,Santa Cruz de la Palma,42
2020,nov,S/C DE TENERIFE,0001C,Cruceristas en Transito,Tránsito,ESPAÑA,ARRECIFE DE LANZAROTE,ESPAÑA,San Sebastian de la Gomera,2191
